feature,importance,mean_diff,std_ratio,cohens_d
sp_nan,562893132.2969677,1.2911799231206054,316273197.7771495,1.3784048604938
request_id_length,562893130.7196741,1.291179923120605,316273196.8909145,1.3784048604937995
time_since_last,12.070540810402857,1.1726888191238563,8.350215885420434,1.2326683366426259
is_success,1.4540592175873708,1.0544009284602764,1.261255230684551,1.0933855595002688
response_id_length,1.4540592175873706,1.0544009284602762,1.261255230684551,1.0933855595002688
minute,0.9434157448803322,0.8993763041289395,1.1419295117221921,0.9185914146528726
hour,0.7184279751554671,0.7039457804330294,1.441231995580519,0.7081253308983294
sp_TEST_SP1,0.6687400900145923,0.770611666340547,1.1141998995164868,0.7788586809919545
is_complete,0.6352559822649871,0.6874443793939012,1.3377631899631783,0.69076759568239
hourly_transaction_count,0.6035915578552352,0.6339218187059805,1.4998183844416328,0.6348465798885001
transaction_duration_filled,0.5938568922517641,0.6704224109951353,1.3163428782548678,0.6729212601658073
duration_z_score,0.5583756215028001,0.6549492231291757,1.2981332632770832,0.656749179902538
day_of_week,0.25661062217463615,0.32879550547761915,2.4030139522256384,0.32478238376220137
sp_TEST_SP2,0.21055414746390266,0.42399295938033227,1.1817874569739675,0.4202094155199609
is_business_hours,0.0211350320423667,0.14415439926773332,0.9662320206485642,0.14182471975481867
is_weekend,0.0,0.0,0.0,0.0
sp_provider,0.0,0.0,0.0,0.0
